Source,Destination,Redirect type,ModifiedDate
/id/integrations/shopify/steps-to-integrate,https://docs.xendit.co/docs/id/shopify,endswith,18 Jul 2025,
/id/integrations/shopify/payment-flow,https://docs.xendit.co/docs/id/shopify,endswith,18 Jul 2025,
/id/integrations/shopify/features,https://docs.xendit.co/docs/id/shopify,endswith,18 Jul 2025,
/id/integrations/shopify,https://docs.xendit.co/docs/id/shopify,endswith,18 Jul 2025,
/id/integrations/woocommerce/refund,https://docs.xendit.co/docs/id/woocommerce,endswith,18 Jul 2025,
/id/integrations/woocommerce/customization,https://docs.xendit.co/docs/id/woocommerce,endswith,18 Jul 2025,
/id/integrations/woocommerce/steps-to-integrate,https://docs.xendit.co/docs/id/woocommerce,endswith,18 Jul 2025,
/id/integrations/woocommerce/payment-flow,https://docs.xendit.co/docs/id/woocommerce,endswith,18 Jul 2025,
/id/integrations/woocommerce/features,https://docs.xendit.co/docs/id/woocommerce,endswith,18 Jul 2025,
/id/integrations/woocommerce,https://docs.xendit.co/docs/id/woocommerce,endswith,18 Jul 2025,
/id/plugins-or-extensions,https://docs.xendit.co/docs/id/plug-ins-overview,endswith,18 Jul 2025,
/id/integrations/libraries,https://docs.xendit.co/docs/id/how-payments-api-work,endswith,17 Jul 2025,
/id/payment-api/glossary,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,17 Jul 2025,
/id/payment-api/faq,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,17 Jul 2025,
/id/payment-api/rules-and-limitations,https://docs.xendit.co/docs/id/available-payment-channels,endswith,17 Jul 2025,
/id/payment-api/reconciliation,https://docs.xendit.co/docs/id/reconciliations,endswith,17 Jul 2025,
/id/payment-api/integration-guide/pre-integration-checklists,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,17 Jul 2025,
/id/payment-api/integration-guide/integration-guide,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,17 Jul 2025,
/id/payment-api/payment-api-flow,https://docs.xendit.co/docs/id/how-payments-api-work,endswith,17 Jul 2025,
/id/payment-api/overview,https://docs.xendit.co/docs/id/how-payments-api-work,endswith,17 Jul 2025,
/id/webhook/setup-guide/php,/apidocs/webhook-behavior,replacewith,17 Jul 2025,
/id/webhook/faq,https://docs.xendit.co/docs/id/handling-webhooks,endswith,17 Jul 2025,
